tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1,sprintcare,FALSE,Tue Oct 31 22:10:47 +0000 2017,@115712 I understand. I would like to assist you. We would need to get you into a private secured link to further assist.,2,3
2,115712,TRUE,Tue Oct 31 22:11:45 +0000 2017,@sprintcare and how do you propose we do that,,1
3,115712,TRUE,Tue Oct 31 22:08:27 +0000 2017,@sprintcare I have sent several private messages and no one is responding as usual,1,4
4,sprintcare,FALSE,Tue Oct 31 21:54:49 +0000 2017,@115712 Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile.,3,5
5,115712,TRUE,Tue Oct 31 21:49:35 +0000 2017,@sprintcare I did.,4,6
6,sprintcare,FALSE,Tue Oct 31 21:46:24 +0000 2017,"@115712 Can you please send us a private message, so that I can gain further details about your account?","5,7",8
8,115712,TRUE,Tue Oct 31 21:45:10 +0000 2017,@sprintcare is the worst customer service,"9,6,10",
11,sprintcare,FALSE,Tue Oct 31 22:10:35 +0000 2017,"@115713 This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC",,12
12,115713,TRUE,Tue Oct 31 22:04:47 +0000 2017,@sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯,"11,13,14",15
15,sprintcare,FALSE,Tue Oct 31 20:03:31 +0000 2017,"@115713 We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA",12,16
16,115713,TRUE,Tue Oct 31 20:00:43 +0000 2017,@sprintcare Since I signed up with you....Since day 1,15,17
17,sprintcare,FALSE,Tue Oct 31 19:59:13 +0000 2017,"@115713 H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA",16,18
19,sprintcare,FALSE,Tue Oct 31 22:10:10 +0000 2017,@115715 Please send me a private message so that I can send you the link to access your account. -FR,,20
1285,sprintcare,FALSE,Tue Oct 31 22:29:15 +0000 2017,@115950 This is really concerning to us and we would love to help. Can you let us know what issues you are having with your connection. KB,"1,28,61,287",1288
1286,115950,TRUE,Thu Nov 09 00:48:24 +0000 2017,@sprintcare If it was concerning I wouldn’t have to be tweeting you so much over the last few years,,1285
1287,115950,TRUE,Thu Nov 09 00:41:07 +0000 2017,@sprintcare Well if you could fix your fucking potato towers out here in Albuquerque that would be a start. https://t.co/qyDs2dbgQI,1289,1285
1289,sprintcare,FALSE,Thu Nov 09 00:50:31 +0000 2017,@115950 Hi there! Service issues huh? Let us take a look into this for you. Shoot us a DM to assist further. -JA,1290,1287
1290,115950,TRUE,Thu Nov 09 01:03:43 +0000 2017,@sprintcare Just fix it,,1289
1291,sprintcare,FALSE,Tue Oct 31 22:26:44 +0000 2017,@115712 Just click ‘Message’ at the top of your profile. We're always here and eager to assist.,1292,1293
1292,115712,TRUE,Tue Oct 31 22:30:09 +0000 2017,@sprintcare I've sent several private messages!!! and no one responds!,1294,1291
1294,sprintcare,FALSE,Tue Oct 31 22:34:30 +0000 2017,@115712 Do you have a good contact number where you can be reached?,1295,1292
1295,115712,TRUE,Tue Oct 31 22:34:55 +0000 2017,@sprintcare I sent it twice now to apparently noone!,,1294
1293,115712,TRUE,Tue Oct 31 22:24:51 +0000 2017,@115714 @sprintcare how can I get in touch with someone that matters at Spring Corporate,"1,29,11,29,61,297",
1296,sprintcare,FALSE,Tue Oct 31 22:26:36 +0000 2017,@115712 Do you have a good contact number where you can be reached? Please send through the private link.,,1293
1298,sprintcare,FALSE,Tue Oct 31 22:25:24 +0000 2017,@115951 Get started here: https://t.co/dYSbRQ3CL0 Conversation will be continued in your secured web browser. -FR,,1299
1300,sprintcare,FALSE,Tue Oct 31 22:24:30 +0000 2017,@115951 Hello please go to the link I will need additional information to work on getting phones unlocked. -FR,,1299
1302,sprintcare,FALSE,Tue Oct 31 22:21:37 +0000 2017,@115952 Hey we would love to further educate you on our amazing Sprint Flex Lease option. Send us a DM lets chat. -CW,,1303
1311,sprintcare,FALSE,Tue Oct 31 22:18:58 +0000 2017,"@115953 Hey Tayler, having service issues? Shoot us a DM for further assistance! -RW",,1312
2101,sprintcare,FALSE,Tue Oct 31 22:38:41 +0000 2017,@116169 Yes dm please.,,2102
2102,116169,TRUE,Tue Oct 31 22:37:51 +0000 2017,@sprintcare Yes I do. You want me to dm you or just write it on the comments???,2101,2103
2103,sprintcare,FALSE,Tue Oct 31 22:36:58 +0000 2017,"@116169 Hello, do you have an order number we can check for you?",2102,2104
2110,sprintcare,FALSE,Tue Oct 31 22:34:03 +0000 2017,@116171 Good afternoon. This is distressing. Send me a DM so I can see what happened.,,2111
2112,sprintcare,FALSE,Tue Oct 31 22:32:39 +0000 2017,"@116172 Hey :)! Let's look into this, DM us. -CS",2113,2114
2113,116172,TRUE,Sat Nov 04 00:08:56 +0000 2017,@sprintcare I called customer care when I tweeted this and they said double charge would be credited. Still no credit.,,2112
2115,sprintcare,FALSE,Tue Oct 31 22:32:37 +0000 2017,@116173 Hey Tiffany! I'd like to work with you on your issues. Can you shoot us a DM for us to have a little chat? -ResolutionSup DC,,2116
